SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
102857.67+641936.2  157.240314  64.326723   1.0668  18.433  0.027   18.262  0.023   18.183  0.022   18.188  0.014   18.103  0.029   -1.000  -9.000  16.754  0.156   16.369  0.224   15.410  0.190   -25.712
102857.93+031800.1  157.241404  3.300046    1.5746  18.939  0.031   18.678  0.027   18.651  0.020   18.539  0.028   18.482  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.343
102859.32+500018.7  157.247189  50.005212   0.3912  19.181  0.032   19.098  0.032   19.014  0.017   18.835  0.020   18.398  0.034   0.000   -9.000  16.973  0.162   15.761  0.100   15.574  0.156   -22.634
102900.06+035314.9  157.250284  3.887483    1.3970  19.827  0.038   19.462  0.017   19.018  0.013   18.819  0.017   18.741  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.774
102900.49+081325.8  157.252044  8.223839    1.3715  19.161  0.028   19.322  0.031   18.935  0.019   18.946  0.018   18.932  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.594
102900.79+622341.9  157.253323  62.394990   2.4692  18.441  0.026   17.937  0.040   17.789  0.018   17.799  0.025   17.572  0.027   0.000   -9.000  16.647  0.140   15.750  0.127   15.074  0.137   -28.064
102903.16-003800.5  157.263172  -0.633474   1.5407  20.150  0.060   19.560  0.021   19.128  0.024   18.710  0.016   18.778  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.170
102904.09+594520.6  157.267059  59.755742   1.6673  20.710  0.075   20.451  0.024   20.560  0.037   20.308  0.049   20.101  0.158   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.647
102904.17+040309.3  157.267397  4.052610    0.5602  19.844  0.046   19.470  0.018   19.394  0.017   19.063  0.020   19.046  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.313
102904.19+504804.7  157.267478  50.801310   0.3863  18.641  0.022   18.444  0.025   18.467  0.025   18.523  0.018   18.036  0.028   0.000   -1.621  17.225  0.183   16.146  0.169   15.357  0.133   -22.928
102906.05+564952.3  157.275211  56.831215   1.8356  19.971  0.043   20.094  0.037   19.959  0.022   19.707  0.022   19.724  0.083   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.473
102906.65+020500.0  157.277738  2.083339    2.1379  18.919  0.025   18.731  0.019   18.704  0.017   18.531  0.019   18.332  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.085
102906.68+555625.2  157.277866  55.940346   0.4510  19.316  0.036   19.143  0.023   19.169  0.053   18.978  0.029   18.870  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.825
102907.08+651024.6  157.279539  65.173501   2.1615  17.163  0.020   16.912  0.022   16.797  0.030   16.743  0.015   16.588  0.019   -1.000  -9.000  15.881  0.068   15.413  0.096   14.566  0.081   -28.817
102907.12+584734.8  157.279678  58.793016   1.1650  20.222  0.053   20.214  0.029   20.115  0.030   20.126  0.038   20.137  0.164   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.980
102907.18+644312.3  157.279935  64.720093   1.7024  19.028  0.032   18.781  0.033   18.804  0.016   18.711  0.021   18.681  0.049   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.300
102907.22+021552.4  157.280118  2.264572    1.0163  19.517  0.036   19.333  0.031   19.040  0.015   19.058  0.021   19.018  0.062   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.806
102908.26+471742.2  157.284447  47.295074   3.0341  21.571  0.101   19.290  0.021   18.847  0.014   18.721  0.018   18.706  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.601
102908.50+583726.7  157.285419  58.624089   1.2347  20.269  0.053   20.282  0.030   19.943  0.027   19.951  0.034   20.268  0.179   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.311
102908.79+455139.4  157.286640  45.860953   3.2232  21.505  0.115   19.469  0.018   19.163  0.021   18.984  0.021   18.983  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.482
102908.80+094032.3  157.286697  9.675653    1.2263  19.064  0.025   19.077  0.021   18.806  0.018   18.849  0.021   18.851  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.436
102909.56+544536.1  157.289854  54.760036   3.1429  21.812  0.145   18.975  0.027   18.776  0.013   18.781  0.015   18.776  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.614
102910.23+020245.5  157.292657  2.045974    0.8134  19.178  0.027   18.978  0.019   19.002  0.018   19.047  0.022   18.894  0.054   0.000   -1.759  0.000   0.000   0.000   0.000   0.000   0.000   -24.278
102911.78+063653.4  157.299124  6.614842    1.6421  20.458  0.058   20.231  0.027   20.161  0.026   19.963  0.031   19.888  0.084   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.003
102912.80+644715.5  157.303338  64.787649   0.8522  18.627  0.020   18.444  0.026   18.359  0.017   18.406  0.018   18.342  0.035   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.951
102912.84+020457.8  157.303503  2.082732    1.7359  19.365  0.035   19.026  0.021   18.891  0.024   18.568  0.018   18.487  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.566
102912.90+600728.5  157.303782  60.124600   1.1596  20.087  0.042   20.114  0.034   19.831  0.033   19.781  0.035   19.753  0.092   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.319
102913.51+044438.0  157.306297  4.743892    2.1115  19.365  0.032   19.300  0.016   19.341  0.020   19.143  0.018   18.972  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.395
102913.76+491932.5  157.307337  49.325721   0.3128  19.032  0.028   18.895  0.028   18.682  0.019   18.689  0.022   18.126  0.033   0.000   -1.521  0.000   0.000   0.000   0.000   0.000   0.000   -22.256
102914.20+593336.9  157.309167  59.560264   1.9634  20.164  0.051   20.037  0.020   19.884  0.027   19.712  0.032   19.637  0.105   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.621
102914.45+600413.5  157.310240  60.070440   1.2339  19.786  0.035   20.094  0.034   19.768  0.032   19.699  0.033   20.015  0.115   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.549
102914.86+572353.7  157.311944  57.398259   0.1886  17.064  0.018   17.163  0.033   17.145  0.012   16.836  0.021   16.936  0.022   0.000   -0.593  15.601  0.075   14.954  0.091   14.122  0.067   -22.904
102915.19+530306.1  157.313326  53.051722   0.4255  18.948  0.023   18.778  0.023   18.838  0.017   18.561  0.021   18.266  0.034   0.000   -1.389  16.732  0.127   15.809  0.128   14.924  0.091   -23.126
102916.39+611444.5  157.318302  61.245714   0.8932  20.367  0.058   19.977  0.023   19.870  0.027   19.868  0.036   19.777  0.097   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.603
102916.44+094643.5  157.318504  9.778765    2.9436  21.743  0.164   19.921  0.021   19.695  0.026   19.611  0.025   19.586  0.071   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.692
102916.80+620514.1  157.320011  62.087269   1.4953  19.611  0.031   19.487  0.019   19.366  0.027   19.172  0.019   19.232  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.529
102918.47+592958.8  157.326968  59.499691   1.3715  20.304  0.055   20.246  0.025   20.073  0.040   19.990  0.040   19.916  0.129   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.505
102920.21+533719.2  157.334213  53.622013   1.4770  19.350  0.038   19.160  0.055   18.871  0.035   18.652  0.022   18.611  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.029
102920.39+014420.0  157.334960  1.738892    1.8493  19.997  0.050   19.815  0.028   19.607  0.023   19.262  0.024   19.235  0.072   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.017
102920.59+025922.2  157.335798  2.989528    2.0723  19.340  0.028   19.213  0.023   18.976  0.021   18.820  0.020   18.577  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.705
102920.70-004747.6  157.336258  -0.796556   0.2588  19.130  0.037   18.773  0.018   18.383  0.023   18.215  0.014   17.884  0.025   0.000   -9.000  16.552  0.131   15.869  0.131   14.920  0.136   -22.366
102921.87+621034.3  157.341139  62.176217   2.4805  20.236  0.047   19.423  0.019   19.363  0.027   19.305  0.021   18.930  0.051   0.000   -1.980  0.000   0.000   0.000   0.000   0.000   0.000   -26.567
102923.14+602105.7  157.346443  60.351605   0.4573  19.699  0.037   19.479  0.030   19.421  0.021   19.159  0.023   18.842  0.049   0.000   -1.461  0.000   0.000   0.000   0.000   0.000   0.000   -22.685
102924.56+051232.0  157.352362  5.208904    1.8667  19.538  0.028   19.412  0.022   19.297  0.015   18.954  0.019   18.946  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.292
102925.57+595046.6  157.356564  59.846286   1.7293  20.494  0.066   20.379  0.030   20.490  0.034   20.112  0.038   19.879  0.144   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.929
102927.83+083327.9  157.365976  8.557761    1.0843  19.529  0.031   19.239  0.022   18.859  0.024   18.799  0.019   18.713  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.196
102929.43+621231.1  157.372627  62.208641   3.2631  22.351  0.269   19.664  0.022   19.261  0.018   19.130  0.020   19.027  0.054   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.354
102929.81+515026.9  157.374245  51.840808   0.8330  20.489  0.061   20.074  0.029   20.121  0.026   20.142  0.032   19.821  0.108   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.181
102931.38+642125.1  157.380762  64.356994   2.0175  20.008  0.062   19.971  0.023   19.946  0.031   19.812  0.033   19.815  0.101   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.590
102931.61+640729.5  157.381728  64.124883   1.6885  18.856  0.050   18.607  0.021   18.562  0.024   18.289  0.021   18.240  0.035   -1.000  -1.762  0.000   0.000   0.000   0.000   0.000   0.000   -26.700
102932.54+090123.3  157.385609  9.023152    1.8470  19.360  0.030   19.244  0.020   19.186  0.023   18.922  0.021   18.873  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.318
102932.87+042843.8  157.386999  4.478855    1.1917  19.585  0.031   19.424  0.025   19.283  0.015   19.261  0.018   19.357  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.954
102933.01+474559.2  157.387563  47.766472   0.5311  19.512  0.041   19.277  0.022   19.350  0.016   19.106  0.015   19.005  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.100
102935.33+510633.8  157.397222  51.109405   0.7083  20.324  0.065   20.065  0.050   19.940  0.028   20.011  0.070   19.770  0.092   0.000   -1.652  0.000   0.000   0.000   0.000   0.000   0.000   -22.900
102937.45+602338.5  157.406051  60.394048   1.7574  20.322  0.060   20.198  0.034   20.036  0.030   19.675  0.029   19.652  0.094   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.404
102937.47+632935.7  157.406136  63.493267   1.3870  18.734  0.024   18.744  0.023   18.698  0.017   18.689  0.021   18.794  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.839
102937.58+081212.2  157.406606  8.203409    1.0759  18.255  0.023   18.008  0.023   17.766  0.016   17.775  0.024   17.745  0.019   0.000   -9.000  16.748  0.188   15.977  0.173   15.404  0.228   -26.183
102937.85+560606.8  157.407746  56.101900   3.6636  26.235  0.486   20.653  0.052   19.332  0.021   19.431  0.019   19.399  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.295
102938.92+651656.4  157.412188  65.282336   1.0463  19.049  0.029   18.665  0.023   18.341  0.031   18.394  0.017   18.269  0.035   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.462
102941.02+030802.2  157.420941  3.133953    0.5284  19.281  0.042   18.748  0.016   18.754  0.025   18.504  0.025   18.469  0.036   16.287  -9.000  17.038  0.204   16.592  0.275   15.528  0.223   -23.761
102945.30+505959.5  157.438758  50.999873   1.6028  20.172  0.054   20.002  0.020   20.139  0.029   19.855  0.027   19.957  0.093   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.013
102946.29+051156.1  157.442911  5.198930    1.1996  19.557  0.030   19.603  0.019   19.223  0.016   19.201  0.020   19.310  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.005
102949.36+513829.8  157.455686  51.641628   3.2351  22.328  0.259   20.341  0.022   20.057  0.024   20.081  0.032   20.093  0.099   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.390
102949.37+020755.0  157.455720  2.131969    1.6572  19.463  0.033   19.381  0.018   19.323  0.018   19.126  0.023   19.089  0.059   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.897
102949.50+643835.9  157.456264  64.643316   1.8693  19.976  0.046   19.726  0.022   19.872  0.023   19.787  0.031   19.746  0.104   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.441
102949.70+083619.2  157.457091  8.605338    2.0879  19.193  0.024   19.056  0.018   18.961  0.026   18.791  0.022   18.527  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.742
102949.80+605731.8  157.457525  60.958838   3.1898  24.422  1.133   20.489  0.033   19.766  0.028   19.613  0.028   19.623  0.073   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.804
102950.71+471110.1  157.461295  47.186141   0.5213  17.514  0.020   17.376  0.025   17.441  0.030   17.347  0.018   17.459  0.020   0.000   -9.000  16.733  0.152   15.903  0.185   14.728  0.109   -24.833
102957.00+041020.1  157.487537  4.172268    1.4247  19.255  0.032   18.998  0.016   18.663  0.014   18.519  0.016   18.542  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.122
102957.12+530245.4  157.488015  53.045958   1.8867  18.033  0.020   18.047  0.036   17.949  0.017   17.715  0.016   17.629  0.024   0.000   -9.000  16.727  0.175   16.080  0.217   15.797  0.264   -27.547
102958.69+651210.3  157.494569  65.202879   2.4777  19.514  0.044   19.151  0.070   18.932  0.023   18.980  0.048   18.822  0.062   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.889
102959.95+482937.9  157.499830  48.493867   0.2322  19.092  0.026   18.832  0.055   18.403  0.021   18.112  0.030   18.078  0.029   0.000   -9.000  16.680  0.167   15.985  0.191   14.991  0.131   -22.112
103000.85+584832.6  157.503544  58.809057   1.2832  20.411  0.065   20.433  0.027   20.119  0.030   19.968  0.033   19.957  0.128   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.369
103001.67+041405.8  157.506970  4.234955    1.6298  19.551  0.028   19.400  0.017   19.368  0.017   19.193  0.016   19.222  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.765
103004.38+000832.4  157.518254  0.142339    1.3474  19.287  0.030   19.203  0.014   19.093  0.015   19.019  0.020   19.013  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.547
103005.59+650700.5  157.523306  65.116832   1.3111  20.660  0.080   20.220  0.073   19.895  0.029   19.825  0.054   19.619  0.111   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.568
103007.99+490459.3  157.533320  49.083163   1.8974  19.204  0.027   19.054  0.017   19.047  0.018   18.850  0.025   18.793  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.406
103009.20+614737.8  157.538365  61.793861   1.4109  18.765  0.022   18.677  0.017   18.688  0.025   18.628  0.023   18.770  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.935
103009.86+012905.4  157.541090  1.484839    1.2782  18.986  0.030   18.760  0.022   18.329  0.020   17.804  0.018   18.216  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.603
103011.13+064513.0  157.546391  6.753619    1.9868  19.579  0.038   19.409  0.025   19.243  0.020   19.013  0.020   18.804  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.399
103011.25+632757.2  157.546876  63.465914   1.3570  19.625  0.036   19.598  0.027   19.335  0.018   19.252  0.027   19.239  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.225
103012.57+042029.1  157.552404  4.341422    1.5135  19.359  0.025   19.026  0.016   18.834  0.016   18.598  0.014   18.611  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.192
103012.68+625801.2  157.552851  62.967023   1.5367  20.472  0.059   20.287  0.063   20.020  0.031   19.734  0.027   19.674  0.080   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.034
103013.41+573027.1  157.555901  57.507533   2.1725  20.211  0.049   19.805  0.035   19.736  0.019   19.627  0.025   19.373  0.052   16.327  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.935
103013.60+060459.5  157.556685  6.083214    1.3999  20.359  0.062   19.682  0.019   18.807  0.025   18.407  0.021   18.221  0.026   15.686  -9.000  16.884  0.228   15.820  0.141   15.417  0.201   -26.177
103013.61-010056.4  157.556725  -1.015690   2.0486  19.689  0.030   19.382  0.021   19.139  0.018   18.881  0.019   18.638  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.649
